epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,model
58,162.928,1.16023,0.8715,1.2363,0.65995,0.67936,0.68924,0.37188,1.66488,1.20955,1.53642,0.0004357,0.0004357,0.0004357,yolov8s_neu
59,165.518,1.16524,0.86738,1.24367,0.71111,0.64007,0.69737,0.38284,1.64865,1.24832,1.54168,0.0004258,0.0004258,0.0004258,yolov8s_neu
60,168.152,1.15394,0.87467,1.23518,0.67367,0.68266,0.69944,0.38509,1.62894,1.20027,1.53301,0.0004159,0.0004159,0.0004159,yolov8s_neu
61,170.732,1.17171,0.85511,1.24413,0.69976,0.65733,0.71512,0.38297,1.64671,1.18355,1.52547,0.000406,0.000406,0.000406,yolov8s_neu
62,173.696,1.13699,0.85661,1.22614,0.70518,0.67076,0.68706,0.37227,1.66603,1.22742,1.54022,0.0003961,0.0003961,0.0003961,yolov8s_neu
63,176.687,1.13706,0.84965,1.23113,0.72389,0.65842,0.72967,0.39026,1.67265,1.17058,1.53277,0.0003862,0.0003862,0.0003862,yolov8s_neu
64,179.693,1.11874,0.82932,1.21194,0.68263,0.68469,0.72092,0.38627,1.66749,1.22046,1.55003,0.0003763,0.0003763,0.0003763,yolov8s_neu
65,182.411,1.15417,0.84426,1.2346,0.68307,0.7055,0.71045,0.3897,1.64741,1.25262,1.53376,0.0003664,0.0003664,0.0003664,yolov8s_neu
66,185.109,1.12411,0.82388,1.21603,0.73488,0.70673,0.73955,0.39843,1.6523,1.23718,1.55106,0.0003565,0.0003565,0.0003565,yolov8s_neu
67,188.03,1.12436,0.81359,1.21867,0.76639,0.67056,0.73862,0.39187,1.65082,1.18658,1.55035,0.0003466,0.0003466,0.0003466,yolov8s_neu
68,190.914,1.09931,0.7976,1.20648,0.71304,0.70955,0.7455,0.40229,1.65588,1.18394,1.56552,0.0003367,0.0003367,0.0003367,yolov8s_neu
69,194.001,1.09087,0.8023,1.20494,0.74488,0.67241,0.73177,0.39881,1.61906,1.14767,1.55408,0.0003268,0.0003268,0.0003268,yolov8s_neu
70,196.698,1.10291,0.78594,1.2041,0.71509,0.69866,0.72018,0.38342,1.63848,1.20242,1.54186,0.0003169,0.0003169,0.0003169,yolov8s_neu
71,199.258,1.08706,0.78661,1.18945,0.74047,0.69784,0.73742,0.39924,1.63033,1.1486,1.52717,0.000307,0.000307,0.000307,yolov8s_neu
72,201.928,1.09749,0.7705,1.19368,0.71382,0.68326,0.71101,0.37788,1.65348,1.19875,1.57825,0.0002971,0.0002971,0.0002971,yolov8s_neu
73,204.605,1.08556,0.78714,1.19333,0.75123,0.6651,0.72425,0.38809,1.64957,1.1575,1.54211,0.0002872,0.0002872,0.0002872,yolov8s_neu
74,207.455,1.05994,0.75956,1.18119,0.73656,0.67185,0.71562,0.3874,1.64877,1.1811,1.57334,0.0002773,0.0002773,0.0002773,yolov8s_neu
75,210.377,1.08343,0.78592,1.20224,0.67218,0.69979,0.69931,0.36543,1.64307,1.19312,1.58749,0.0002674,0.0002674,0.0002674,yolov8s_neu
76,213.202,1.06667,0.76069,1.18257,0.72309,0.64866,0.70543,0.38602,1.62015,1.17442,1.5486,0.0002575,0.0002575,0.0002575,yolov8s_neu
77,216.033,1.05792,0.74989,1.17566,0.67698,0.69309,0.68973,0.3694,1.65167,1.22279,1.55597,0.0002476,0.0002476,0.0002476,yolov8s_neu
78,218.889,1.04276,0.74588,1.1724,0.71802,0.68749,0.71119,0.39428,1.64745,1.17557,1.54869,0.0002377,0.0002377,0.0002377,yolov8s_neu
79,221.66,1.04823,0.72996,1.17099,0.72639,0.67588,0.70743,0.37572,1.66946,1.17826,1.58201,0.0002278,0.0002278,0.0002278,yolov8s_neu
80,224.144,1.04336,0.73072,1.17731,0.71765,0.62734,0.68841,0.37764,1.65304,1.2388,1.56645,0.0002179,0.0002179,0.0002179,yolov8s_neu
81,226.646,1.03753,0.72233,1.16554,0.73041,0.67942,0.72336,0.38764,1.68741,1.19307,1.56672,0.000208,0.000208,0.000208,yolov8s_neu
82,229.164,1.02542,0.72411,1.16559,0.69365,0.7126,0.7117,0.39495,1.6035,1.16668,1.55624,0.0001981,0.0001981,0.0001981,yolov8s_neu
83,231.667,1.00743,0.70958,1.16261,0.71869,0.71696,0.72708,0.3954,1.6262,1.18069,1.57276,0.0001882,0.0001882,0.0001882,yolov8s_neu
84,234.261,1.01554,0.70523,1.15852,0.73704,0.68695,0.73282,0.40295,1.61438,1.17487,1.57187,0.0001783,0.0001783,0.0001783,yolov8s_neu
85,237.026,1.02569,0.71469,1.16255,0.74392,0.66202,0.70801,0.38826,1.62797,1.17432,1.58008,0.0001684,0.0001684,0.0001684,yolov8s_neu
86,239.527,1.00629,0.68899,1.15584,0.68529,0.70277,0.70301,0.38901,1.64435,1.16578,1.57628,0.0001585,0.0001585,0.0001585,yolov8s_neu
87,242.015,1.01373,0.70578,1.15832,0.71435,0.68485,0.71771,0.39068,1.64225,1.16746,1.59378,0.0001486,0.0001486,0.0001486,yolov8s_neu
88,244.511,0.98922,0.68805,1.14046,0.71612,0.66734,0.70667,0.39448,1.64745,1.16079,1.58176,0.0001387,0.0001387,0.0001387,yolov8s_neu
89,247.021,0.9935,0.68473,1.14244,0.74351,0.67685,0.72554,0.39693,1.63473,1.15192,1.56858,0.0001288,0.0001288,0.0001288,yolov8s_neu
90,249.652,0.95527,0.6651,1.12946,0.70766,0.70834,0.71529,0.3958,1.6396,1.15268,1.60603,0.0001189,0.0001189,0.0001189,yolov8s_neu
91,252.705,0.864,0.51966,1.05718,0.71551,0.71449,0.72749,0.40731,1.61351,1.13532,1.58092,0.000109,0.000109,0.000109,yolov8s_neu
92,255.337,0.85172,0.50822,1.05184,0.75112,0.67373,0.71319,0.39656,1.6178,1.14127,1.58038,9.91e-05,9.91e-05,9.91e-05,yolov8s_neu
93,257.794,0.83608,0.49337,1.04016,0.73435,0.68714,0.71359,0.39713,1.63272,1.16954,1.59502,8.92e-05,8.92e-05,8.92e-05,yolov8s_neu
94,260.209,0.82519,0.48994,1.04226,0.73768,0.67065,0.71733,0.40058,1.63157,1.17444,1.579,7.93e-05,7.93e-05,7.93e-05,yolov8s_neu
95,262.656,0.83026,0.48661,1.04601,0.69428,0.71484,0.71789,0.3932,1.64589,1.1699,1.58915,6.94e-05,6.94e-05,6.94e-05,yolov8s_neu
96,265.13,0.80814,0.47274,1.02387,0.71002,0.7108,0.71834,0.39139,1.64535,1.16949,1.60164,5.95e-05,5.95e-05,5.95e-05,yolov8s_neu
97,267.774,0.80298,0.47495,1.03438,0.70224,0.69513,0.7064,0.39493,1.63524,1.18551,1.6042,4.96e-05,4.96e-05,4.96e-05,yolov8s_neu
98,270.296,0.80315,0.46514,1.02563,0.69517,0.70935,0.70959,0.39793,1.63567,1.18164,1.60636,3.97e-05,3.97e-05,3.97e-05,yolov8s_neu
99,272.802,0.79764,0.46148,1.02491,0.6912,0.72726,0.71416,0.40314,1.63672,1.16189,1.61088,2.98e-05,2.98e-05,2.98e-05,yolov8s_neu
100,275.305,0.78547,0.46044,1.01221,0.70544,0.7222,0.71882,0.40039,1.64291,1.16051,1.61935,1.99e-05,1.99e-05,1.99e-05,yolov8s_neu
